Feature-to-Feature Correlations (absolute values, sorted)
('tweets_over_followers_scaled', 'follower_rate_scaled'): 0.0279
('username_name_length_ratio_scaled', 'ratio_digits_in_description_scaled'): 0.0279
('ratio_digits_in_username_scaled', 'username_entropy_scaled'): 0.0278
('description_sentiment_scaled', 'tweets_last20_num_distinct_langs_scaled'): 0.0277
('following_over_total_connections_scaled', 'tweets_last20_sensitive_fraction_scaled'): 0.0277
('username_entropy_scaled', 'tweets_last20_avg_retweets_scaled'): 0.0275
('ratio_digits_in_username_scaled', 'followers_count_scaled'): 0.0273
('tweets_last20_reply_fraction_scaled', 'tweets_last20_sensitive_fraction_scaled'): 0.0273
('name_length_scaled', 'following_over_followers_scaled'): 0.0273
('ratio_special_chars_in_description_scaled', 'mention_in_description_count_scaled'): 0.0270
('username_name_length_ratio_scaled', 'tweets_over_followers_scaled'): 0.0268
('name_length_scaled', 'username_upper_to_lower_ratio_scaled'): 0.0265
('description_length_scaled', 'ratio_special_chars_in_username_scaled'): 0.0263
('name_entropy_scaled', 'account_age_seconds_scaled'): 0.0261
('ratio_digits_in_description_scaled', 'hashtag_in_description_count_scaled'): 0.0259
('url_in_description_count_scaled', 'listed_rate_scaled'): 0.0258
('ratio_digits_in_description_scaled', 'username_entropy_scaled'): 0.0257
('name_entropy_scaled', 'tweets_last20_avg_likes_scaled'): 0.0256
('username_name_length_ratio_scaled', 'listed_rate_scaled'): 0.0254
('listed_over_followers_scaled', 'tweets_last20_num_distinct_langs_scaled'): 0.0254
('description_sentiment_scaled', 'tweets_last20_avg_retweets_scaled'): 0.0252
('ratio_digits_in_description_scaled', 'tweets_last20_reply_fraction_scaled'): 0.0251
('username_entropy_scaled', 'following_rate_scaled'): 0.0250
('mention_in_description_count_scaled', 'listed_over_tweets_scaled'): 0.0250
('username_name_length_ratio_scaled', 'listed_count_scaled'): 0.0249
('hashtag_in_description_count_scaled', 'follower_rate_scaled'): 0.0248
('username_entropy_scaled', 'follower_rate_scaled'): 0.0247
('tweet_count_scaled', 'following_over_followers_scaled'): 0.0247
('followers_over_following_scaled', 'tweets_last20_reply_fraction_scaled'): 0.0246
('double_followers_over_following_scaled', 'tweets_last20_reply_fraction_scaled'): 0.0246
('description_length_scaled', 'cashtag_in_description_count_scaled'): 0.0245
('following_count_scaled', 'listed_count_scaled'): 0.0244
('mention_in_description_count_scaled', 'following_over_followers_scaled'): 0.0241
('username_upper_to_lower_ratio_scaled', 'username_name_levenshtein_scaled'): 0.0241
('followers_count_scaled', 'tweets_over_followers_scaled'): 0.0239
('account_age_seconds_scaled', 'tweets_last20_avg_retweets_scaled'): 0.0238
('ratio_digits_in_username_scaled', 'tweets_last20_avg_retweets_scaled'): 0.0238
('username_name_levenshtein_scaled', 'cashtag_in_description_count_scaled'): 0.0233
('following_over_followers_scaled', 'tweet_rate_scaled'): 0.0230
('ratio_special_chars_in_username_scaled', 'tweets_last20_avg_likes_scaled'): 0.0230
('account_age_seconds_scaled', 'listed_over_tweets_scaled'): 0.0230
('ratio_digits_in_username_scaled', 'name_upper_to_lower_ratio_scaled'): 0.0228
('name_entropy_scaled', 'followers_over_following_scaled'): 0.0228
('name_entropy_scaled', 'double_followers_over_following_scaled'): 0.0228
('hashtag_in_description_count_scaled', 'followers_count_scaled'): 0.0227
('description_sentiment_scaled', 'listed_rate_scaled'): 0.0226
('username_entropy_scaled', 'tweets_last20_reply_fraction_scaled'): 0.0226
('mention_in_description_count_scaled', 'url_in_description_count_scaled'): 0.0225
('username_name_length_ratio_scaled', 'following_count_scaled'): 0.0225
('username_upper_to_lower_ratio_scaled', 'tweets_last20_sensitive_fraction_scaled'): 0.0224
('ratio_digits_in_description_scaled', 'account_age_seconds_scaled'): 0.0223
('name_upper_to_lower_ratio_scaled', 'following_over_total_connections_scaled'): 0.0222
('username_name_levenshtein_scaled', 'hashtag_in_description_count_scaled'): 0.0221
('ratio_special_chars_in_description_scaled', 'username_upper_to_lower_ratio_scaled'): 0.0221
('username_length_scaled', 'listed_over_tweets_scaled'): 0.0220
('name_entropy_scaled', 'following_over_followers_scaled'): 0.0219
('ratio_digits_in_description_scaled', 'tweets_last20_avg_likes_scaled'): 0.0219
('name_entropy_scaled', 'tweet_count_scaled'): 0.0218
('listed_over_followers_scaled', 'following_rate_scaled'): 0.0218
('ratio_special_chars_in_username_scaled', 'hashtag_in_description_count_scaled'): 0.0217
('username_name_length_ratio_scaled', 'following_rate_scaled'): 0.0216
('name_entropy_scaled', 'hashtag_in_description_count_scaled'): 0.0215
('ratio_digits_in_name_scaled', 'url_in_description_count_scaled'): 0.0212
('mention_in_description_count_scaled', 'tweets_last20_sensitive_fraction_scaled'): 0.0210
('username_length_scaled', 'tweets_last20_avg_retweets_scaled'): 0.0208
('username_entropy_scaled', 'cashtag_in_description_count_scaled'): 0.0208
('ratio_special_chars_in_description_scaled', 'following_over_followers_scaled'): 0.0206
('url_in_description_count_scaled', 'listed_count_scaled'): 0.0206
('description_sentiment_scaled', 'listed_count_scaled'): 0.0206
('ratio_digits_in_description_scaled', 'tweets_over_followers_scaled'): 0.0206
('description_sentiment_scaled', 'following_rate_scaled'): 0.0205
('hashtag_in_description_count_scaled', 'tweets_last20_num_distinct_langs_scaled'): 0.0202
('ratio_special_chars_in_name_scaled', 'following_over_total_connections_scaled'): 0.0201
('username_length_scaled', 'following_rate_scaled'): 0.0201
('description_sentiment_scaled', 'tweet_count_scaled'): 0.0201
('description_sentiment_scaled', 'tweets_last20_sensitive_fraction_scaled'): 0.0199
('following_rate_scaled', 'listed_rate_scaled'): 0.0199
('username_name_length_ratio_scaled', 'follower_rate_scaled'): 0.0198
('name_upper_to_lower_ratio_scaled', 'tweets_over_followers_scaled'): 0.0198
('ratio_special_chars_in_name_scaled', 'name_upper_to_lower_ratio_scaled'): 0.0198
('username_name_length_ratio_scaled', 'tweet_count_scaled'): 0.0198
('ratio_digits_in_name_scaled', 'username_entropy_scaled'): 0.0198
('username_name_length_ratio_scaled', 'followers_count_scaled'): 0.0198
('ratio_special_chars_in_name_scaled', 'tweets_last20_avg_likes_scaled'): 0.0198
('ratio_digits_in_name_scaled', 'username_upper_to_lower_ratio_scaled'): 0.0197
('ratio_digits_in_name_scaled', 'ratio_special_chars_in_username_scaled'): 0.0197
('username_length_scaled', 'tweet_count_scaled'): 0.0197
('followers_count_scaled', 'tweets_last20_num_distinct_langs_scaled'): 0.0196
('following_rate_scaled', 'tweets_last20_num_distinct_langs_scaled'): 0.0196
('username_entropy_scaled', 'tweets_last20_num_distinct_langs_scaled'): 0.0196
('username_entropy_scaled', 'mention_in_description_count_scaled'): 0.0195
('description_length_scaled', 'follower_rate_scaled'): 0.0195
('username_length_scaled', 'tweets_last20_avg_likes_scaled'): 0.0194
('account_age_seconds_scaled', 'tweets_last20_sensitive_fraction_scaled'): 0.0193
('listed_over_followers_scaled', 'follower_rate_scaled'): 0.0193
('hashtag_in_description_count_scaled', 'listed_count_scaled'): 0.0193
('hashtag_in_description_count_scaled', 'listed_rate_scaled'): 0.0191
('mention_in_description_count_scaled', 'following_count_scaled'): 0.0191
('name_length_scaled', 'following_over_followers_squared_scaled'): 0.0189
('ratio_special_chars_in_name_scaled', 'following_rate_scaled'): 0.0188
('hashtag_in_description_count_scaled', 'tweets_last20_avg_likes_scaled'): 0.0188
('ratio_special_chars_in_username_scaled', 'description_sentiment_scaled'): 0.0185
('username_entropy_scaled', 'url_in_description_count_scaled'): 0.0184
('name_entropy_scaled', 'tweet_rate_scaled'): 0.0184
('name_length_scaled', 'following_count_scaled'): 0.0183
('username_upper_to_lower_ratio_scaled', 'tweet_rate_scaled'): 0.0183
('username_name_length_ratio_scaled', 'listed_over_tweets_scaled'): 0.0182
('name_entropy_scaled', 'cashtag_in_description_count_scaled'): 0.0182
('ratio_special_chars_in_name_scaled', 'url_in_description_count_scaled'): 0.0181
('description_sentiment_scaled', 'url_in_description_count_scaled'): 0.0180
('url_in_description_count_scaled', 'tweets_last20_sensitive_fraction_scaled'): 0.0179
('ratio_special_chars_in_username_scaled', 'username_entropy_scaled'): 0.0178
('ratio_digits_in_username_scaled', 'hashtag_in_description_count_scaled'): 0.0177
('ratio_special_chars_in_description_scaled', 'following_over_followers_squared_scaled'): 0.0175
('ratio_special_chars_in_name_scaled', 'followers_over_following_scaled'): 0.0174
('ratio_special_chars_in_name_scaled', 'double_followers_over_following_scaled'): 0.0174
('url_in_description_count_scaled', 'tweets_last20_avg_retweets_scaled'): 0.0173
('url_in_description_count_scaled', 'following_over_followers_scaled'): 0.0172
('tweet_count_scaled', 'tweets_last20_num_distinct_langs_scaled'): 0.0172
('following_over_followers_squared_scaled', 'tweets_last20_num_distinct_langs_scaled'): 0.0172
('follower_rate_scaled', 'tweets_last20_num_distinct_langs_scaled'): 0.0172
('listed_over_tweets_scaled', 'tweets_last20_num_distinct_langs_scaled'): 0.0171
('tweets_over_followers_scaled', 'tweets_last20_avg_likes_scaled'): 0.0169
('ratio_special_chars_in_username_scaled', 'following_over_total_connections_scaled'): 0.0168
('description_length_scaled', 'followers_count_scaled'): 0.0166
('ratio_special_chars_in_name_scaled', 'hashtag_in_description_count_scaled'): 0.0165
('ratio_special_chars_in_name_scaled', 'listed_rate_scaled'): 0.0164
('followers_count_scaled', 'listed_over_followers_scaled'): 0.0163
('username_name_levenshtein_scaled', 'follower_rate_scaled'): 0.0162
('ratio_digits_in_description_scaled', 'following_rate_scaled'): 0.0162
('hashtag_in_description_count_scaled', 'listed_over_tweets_scaled'): 0.0161
('username_length_scaled', 'tweets_over_followers_scaled'): 0.0160
('ratio_special_chars_in_username_scaled', 'listed_over_followers_scaled'): 0.0159
('username_name_levenshtein_scaled', 'description_sentiment_scaled'): 0.0158
('name_upper_to_lower_ratio_scaled', 'listed_over_followers_scaled'): 0.0157
('username_entropy_scaled', 'tweets_over_followers_scaled'): 0.0157
('username_entropy_scaled', 'following_count_scaled'): 0.0156
('ratio_special_chars_in_username_scaled', 'name_upper_to_lower_ratio_scaled'): 0.0155
('description_sentiment_scaled', 'following_over_followers_scaled'): 0.0154
('ratio_digits_in_username_scaled', 'cashtag_in_description_count_scaled'): 0.0154
('ratio_digits_in_description_scaled', 'following_over_followers_scaled'): 0.0154
('ratio_digits_in_description_scaled', 'listed_rate_scaled'): 0.0152
('username_name_length_ratio_scaled', 'followers_over_following_scaled'): 0.0152
('username_name_length_ratio_scaled', 'double_followers_over_following_scaled'): 0.0152
('ratio_special_chars_in_username_scaled', 'tweets_over_followers_scaled'): 0.0151
('username_upper_to_lower_ratio_scaled', 'listed_over_tweets_scaled'): 0.0151
('username_name_levenshtein_scaled', 'following_over_followers_squared_scaled'): 0.0150
('followers_over_following_scaled', 'tweets_last20_num_distinct_langs_scaled'): 0.0150
('double_followers_over_following_scaled', 'tweets_last20_num_distinct_langs_scaled'): 0.0150
('listed_count_scaled', 'following_rate_scaled'): 0.0150
('ratio_special_chars_in_description_scaled', 'listed_rate_scaled'): 0.0149
('ratio_digits_in_username_scaled', 'listed_over_followers_scaled'): 0.0149
('mention_in_description_count_scaled', 'following_over_followers_squared_scaled'): 0.0149
('ratio_special_chars_in_username_scaled', 'tweet_count_scaled'): 0.0144
('username_length_scaled', 'followers_over_following_scaled'): 0.0144
('username_length_scaled', 'double_followers_over_following_scaled'): 0.0144
('ratio_digits_in_description_scaled', 'listed_over_followers_scaled'): 0.0143
('ratio_special_chars_in_username_scaled', 'listed_over_tweets_scaled'): 0.0143
('tweet_count_scaled', 'following_over_followers_squared_scaled'): 0.0142
('cashtag_in_description_count_scaled', 'tweets_last20_num_distinct_langs_scaled'): 0.0142
('ratio_digits_in_username_scaled', 'tweets_last20_avg_likes_scaled'): 0.0141
('username_entropy_scaled', 'tweets_last20_sensitive_fraction_scaled'): 0.0141
('following_count_scaled', 'listed_over_followers_scaled'): 0.0141
('ratio_digits_in_username_scaled', 'following_over_followers_squared_scaled'): 0.0140
('username_upper_to_lower_ratio_scaled', 'tweet_count_scaled'): 0.0140
('name_length_scaled', 'cashtag_in_description_count_scaled'): 0.0140
('ratio_special_chars_in_name_scaled', 'listed_count_scaled'): 0.0140
('hashtag_in_description_count_scaled', 'mention_in_description_count_scaled'): 0.0139
('username_name_length_ratio_scaled', 'username_upper_to_lower_ratio_scaled'): 0.0139
('username_upper_to_lower_ratio_scaled', 'following_count_scaled'): 0.0139
('following_over_followers_squared_scaled', 'tweet_rate_scaled'): 0.0138
('ratio_special_chars_in_description_scaled', 'listed_count_scaled'): 0.0138
('ratio_special_chars_in_username_scaled', 'followers_over_following_scaled'): 0.0138
('ratio_special_chars_in_username_scaled', 'double_followers_over_following_scaled'): 0.0138
('username_length_scaled', 'description_sentiment_scaled'): 0.0136
('hashtag_in_description_count_scaled', 'following_over_followers_scaled'): 0.0136
('ratio_digits_in_name_scaled', 'tweets_last20_sensitive_fraction_scaled'): 0.0134
('following_count_scaled', 'tweets_last20_avg_retweets_scaled'): 0.0134
('name_upper_to_lower_ratio_scaled', 'url_in_description_count_scaled'): 0.0132
('username_name_length_ratio_scaled', 'hashtag_in_description_count_scaled'): 0.0132
('listed_over_tweets_scaled', 'following_rate_scaled'): 0.0132
('username_upper_to_lower_ratio_scaled', 'description_sentiment_scaled'): 0.0132
('description_length_scaled', 'name_upper_to_lower_ratio_scaled'): 0.0132
('account_age_seconds_scaled', 'following_rate_scaled'): 0.0131
('ratio_digits_in_username_scaled', 'following_rate_scaled'): 0.0131
('following_rate_scaled', 'tweets_last20_avg_retweets_scaled'): 0.0131
('name_upper_to_lower_ratio_scaled', 'listed_over_tweets_scaled'): 0.0129
('cashtag_in_description_count_scaled', 'tweet_count_scaled'): 0.0129
('mention_in_description_count_scaled', 'following_rate_scaled'): 0.0128
('username_name_length_ratio_scaled', 'cashtag_in_description_count_scaled'): 0.0128
('tweet_rate_scaled', 'tweets_last20_avg_likes_scaled'): 0.0128
('ratio_digits_in_description_scaled', 'name_upper_to_lower_ratio_scaled'): 0.0127
('name_entropy_scaled', 'follower_rate_scaled'): 0.0127
('username_name_length_ratio_scaled', 'tweets_last20_avg_likes_scaled'): 0.0127
('ratio_digits_in_username_scaled', 'following_count_scaled'): 0.0127
('ratio_digits_in_description_scaled', 'mention_in_description_count_scaled'): 0.0126
('ratio_digits_in_description_scaled', 'listed_count_scaled'): 0.0126
('username_name_levenshtein_scaled', 'followers_count_scaled'): 0.0125
('name_entropy_scaled', 'following_over_followers_squared_scaled'): 0.0125
('following_over_total_connections_scaled', 'listed_over_followers_scaled'): 0.0124
('username_name_levenshtein_scaled', 'url_in_description_count_scaled'): 0.0124
('mention_in_description_count_scaled', 'tweets_last20_avg_retweets_scaled'): 0.0123
('hashtag_in_description_count_scaled', 'followers_over_following_scaled'): 0.0123
('hashtag_in_description_count_scaled', 'double_followers_over_following_scaled'): 0.0123
('username_name_length_ratio_scaled', 'ratio_digits_in_name_scaled'): 0.0123
('ratio_digits_in_name_scaled', 'tweets_last20_num_distinct_langs_scaled'): 0.0121
('ratio_special_chars_in_username_scaled', 'cashtag_in_description_count_scaled'): 0.0121
('listed_over_followers_scaled', 'tweets_last20_avg_likes_scaled'): 0.0121
('ratio_special_chars_in_description_scaled', 'tweets_last20_avg_retweets_scaled'): 0.0120
('tweet_count_scaled', 'tweets_last20_avg_likes_scaled'): 0.0119
('listed_over_tweets_scaled', 'tweets_last20_avg_retweets_scaled'): 0.0119
('mention_in_description_count_scaled', 'tweet_count_scaled'): 0.0118
('description_sentiment_scaled', 'following_over_followers_squared_scaled'): 0.0118
('mention_in_description_count_scaled', 'followers_count_scaled'): 0.0118
('description_length_scaled', 'listed_rate_scaled'): 0.0118
('hashtag_in_description_count_scaled', 'url_in_description_count_scaled'): 0.0117
('url_in_description_count_scaled', 'followers_over_following_scaled'): 0.0117
('url_in_description_count_scaled', 'double_followers_over_following_scaled'): 0.0117
('description_sentiment_scaled', 'hashtag_in_description_count_scaled'): 0.0117
('username_upper_to_lower_ratio_scaled', 'following_rate_scaled'): 0.0117
('ratio_special_chars_in_description_scaled', 'following_over_total_connections_scaled'): 0.0116
('name_entropy_scaled', 'followers_count_scaled'): 0.0116
('ratio_special_chars_in_description_scaled', 'following_rate_scaled'): 0.0115
('username_length_scaled', 'description_length_scaled'): 0.0115
('username_length_scaled', 'cashtag_in_description_count_scaled'): 0.0114
('ratio_special_chars_in_name_scaled', 'following_over_followers_squared_scaled'): 0.0114
('cashtag_in_description_count_scaled', 'following_rate_scaled'): 0.0114
('listed_rate_scaled', 'tweets_last20_avg_retweets_scaled'): 0.0113
('username_upper_to_lower_ratio_scaled', 'following_over_followers_scaled'): 0.0113
('name_entropy_scaled', 'listed_rate_scaled'): 0.0112
('username_name_levenshtein_scaled', 'following_count_scaled'): 0.0111
('name_upper_to_lower_ratio_scaled', 'tweet_count_scaled'): 0.0111
('description_length_scaled', 'listed_count_scaled'): 0.0110
('ratio_digits_in_name_scaled', 'listed_over_tweets_scaled'): 0.0110
('description_sentiment_scaled', 'following_count_scaled'): 0.0109
('ratio_digits_in_username_scaled', 'followers_over_following_scaled'): 0.0108
('ratio_digits_in_username_scaled', 'double_followers_over_following_scaled'): 0.0108
('username_upper_to_lower_ratio_scaled', 'followers_over_following_scaled'): 0.0108
('username_upper_to_lower_ratio_scaled', 'double_followers_over_following_scaled'): 0.0108
('listed_over_tweets_scaled', 'tweets_last20_sensitive_fraction_scaled'): 0.0108
('ratio_digits_in_name_scaled', 'follower_rate_scaled'): 0.0107
('username_entropy_scaled', 'listed_over_tweets_scaled'): 0.0107
('followers_over_following_scaled', 'tweets_over_followers_scaled'): 0.0106
('double_followers_over_following_scaled', 'tweets_over_followers_scaled'): 0.0106
('name_length_scaled', 'description_sentiment_scaled'): 0.0106
('following_over_followers_scaled', 'listed_rate_scaled'): 0.0105
('mention_in_description_count_scaled', 'listed_over_followers_scaled'): 0.0104
('followers_over_following_scaled', 'following_rate_scaled'): 0.0104
('double_followers_over_following_scaled', 'following_rate_scaled'): 0.0104
('username_name_length_ratio_scaled', 'following_over_followers_scaled'): 0.0103
('ratio_special_chars_in_name_scaled', 'following_over_followers_scaled'): 0.0103
('listed_over_followers_scaled', 'tweets_last20_avg_retweets_scaled'): 0.0102
('hashtag_in_description_count_scaled', 'following_over_followers_squared_scaled'): 0.0102
('ratio_digits_in_description_scaled', 'following_over_followers_squared_scaled'): 0.0102
('description_sentiment_scaled', 'listed_over_tweets_scaled'): 0.0101
('name_upper_to_lower_ratio_scaled', 'tweets_last20_sensitive_fraction_scaled'): 0.0101
('ratio_special_chars_in_username_scaled', 'tweet_rate_scaled'): 0.0100
('username_length_scaled', 'tweets_last20_num_distinct_langs_scaled'): 0.0100
('username_upper_to_lower_ratio_scaled', 'url_in_description_count_scaled'): 0.0100
('ratio_digits_in_name_scaled', 'followers_count_scaled'): 0.0099
('username_length_scaled', 'following_over_followers_squared_scaled'): 0.0099
('hashtag_in_description_count_scaled', 'tweets_over_followers_scaled'): 0.0099
('ratio_digits_in_name_scaled', 'listed_over_followers_scaled'): 0.0098
('url_in_description_count_scaled', 'following_over_followers_squared_scaled'): 0.0098
('ratio_digits_in_description_scaled', 'tweets_last20_sensitive_fraction_scaled'): 0.0098
('ratio_digits_in_description_scaled', 'followers_over_following_scaled'): 0.0098
('ratio_digits_in_description_scaled', 'double_followers_over_following_scaled'): 0.0098
('name_upper_to_lower_ratio_scaled', 'tweets_last20_avg_retweets_scaled'): 0.0097
('name_entropy_scaled', 'listed_over_followers_scaled'): 0.0096
('name_entropy_scaled', 'listed_count_scaled'): 0.0096
('listed_rate_scaled', 'tweets_last20_sensitive_fraction_scaled'): 0.0096
('following_rate_scaled', 'tweets_last20_avg_likes_scaled'): 0.0096
('ratio_digits_in_description_scaled', 'tweets_last20_avg_retweets_scaled'): 0.0095
('tweet_count_scaled', 'listed_over_followers_scaled'): 0.0095
('username_entropy_scaled', 'tweet_count_scaled'): 0.0095
('username_upper_to_lower_ratio_scaled', 'tweets_last20_avg_retweets_scaled'): 0.0094
('name_length_scaled', 'listed_count_scaled'): 0.0094
('listed_count_scaled', 'tweets_last20_avg_retweets_scaled'): 0.0094
('following_count_scaled', 'follower_rate_scaled'): 0.0093
('ratio_digits_in_name_scaled', 'following_rate_scaled'): 0.0093
('name_length_scaled', 'followers_over_following_scaled'): 0.0093
('name_length_scaled', 'double_followers_over_following_scaled'): 0.0093
('tweet_count_scaled', 'tweets_last20_sensitive_fraction_scaled'): 0.0093
('ratio_digits_in_name_scaled', 'tweets_last20_avg_likes_scaled'): 0.0092
('ratio_digits_in_name_scaled', 'description_sentiment_scaled'): 0.0091
('following_rate_scaled', 'tweets_last20_reply_fraction_scaled'): 0.0091
('ratio_special_chars_in_description_scaled', 'tweets_last20_sensitive_fraction_scaled'): 0.0091
('listed_count_scaled', 'following_over_followers_scaled'): 0.0089
('following_over_followers_scaled', 'tweets_over_followers_scaled'): 0.0088
('ratio_special_chars_in_name_scaled', 'tweets_last20_sensitive_fraction_scaled'): 0.0088
('name_upper_to_lower_ratio_scaled', 'tweets_last20_avg_likes_scaled'): 0.0088
('following_count_scaled', 'followers_over_following_scaled'): 0.0088
('following_count_scaled', 'double_followers_over_following_scaled'): 0.0088
('name_length_scaled', 'listed_over_followers_scaled'): 0.0088
('username_name_levenshtein_scaled', 'following_over_followers_scaled'): 0.0088
('following_over_followers_scaled', 'listed_over_tweets_scaled'): 0.0088
('cashtag_in_description_count_scaled', 'hashtag_in_description_count_scaled'): 0.0087
('url_in_description_count_scaled', 'tweets_last20_avg_likes_scaled'): 0.0087
('follower_rate_scaled', 'tweets_last20_sensitive_fraction_scaled'): 0.0086
('ratio_digits_in_name_scaled', 'ratio_special_chars_in_name_scaled'): 0.0086
('username_length_scaled', 'tweets_last20_sensitive_fraction_scaled'): 0.0085
('name_entropy_scaled', 'username_name_levenshtein_scaled'): 0.0084
('followers_over_following_scaled', 'tweets_last20_avg_likes_scaled'): 0.0084
('double_followers_over_following_scaled', 'tweets_last20_avg_likes_scaled'): 0.0084
('username_length_scaled', 'tweets_last20_reply_fraction_scaled'): 0.0084
('name_entropy_scaled', 'listed_over_tweets_scaled'): 0.0084
('url_in_description_count_scaled', 'followers_count_scaled'): 0.0083
('username_length_scaled', 'following_over_followers_scaled'): 0.0083
('name_length_scaled', 'listed_rate_scaled'): 0.0083
('name_length_scaled', 'ratio_special_chars_in_name_scaled'): 0.0083
('tweet_rate_scaled', 'tweets_last20_num_distinct_langs_scaled'): 0.0082
('followers_count_scaled', 'following_count_scaled'): 0.0082
('username_upper_to_lower_ratio_scaled', 'following_over_followers_squared_scaled'): 0.0082
('cashtag_in_description_count_scaled', 'tweets_over_followers_scaled'): 0.0082
('tweet_count_scaled', 'tweets_last20_avg_retweets_scaled'): 0.0081
('username_upper_to_lower_ratio_scaled', 'cashtag_in_description_count_scaled'): 0.0081
('listed_count_scaled', 'tweets_last20_sensitive_fraction_scaled'): 0.0081
('following_count_scaled', 'tweets_last20_reply_fraction_scaled'): 0.0081
('url_in_description_count_scaled', 'follower_rate_scaled'): 0.0081
('username_entropy_scaled', 'tweets_last20_avg_likes_scaled'): 0.0080
('username_length_scaled', 'ratio_digits_in_username_scaled'): 0.0079
('name_upper_to_lower_ratio_scaled', 'listed_rate_scaled'): 0.0079
('description_length_scaled', 'followers_over_following_scaled'): 0.0078
('description_length_scaled', 'double_followers_over_following_scaled'): 0.0078
('following_over_followers_scaled', 'follower_rate_scaled'): 0.0076
('ratio_special_chars_in_username_scaled', 'tweets_last20_reply_fraction_scaled'): 0.0076
('following_count_scaled', 'tweets_last20_avg_likes_scaled'): 0.0076
('followers_over_following_scaled', 'listed_over_followers_scaled'): 0.0076
('double_followers_over_following_scaled', 'listed_over_followers_scaled'): 0.0076
('ratio_special_chars_in_description_scaled', 'hashtag_in_description_count_scaled'): 0.0074
('following_count_scaled', 'listed_over_tweets_scaled'): 0.0074
('following_over_followers_scaled', 'listed_over_followers_scaled'): 0.0073
('tweets_last20_avg_likes_scaled', 'tweets_last20_avg_retweets_scaled'): 0.0073
('mention_in_description_count_scaled', 'tweets_last20_reply_fraction_scaled'): 0.0073
('followers_count_scaled', 'tweets_last20_sensitive_fraction_scaled'): 0.0073
('mention_in_description_count_scaled', 'follower_rate_scaled'): 0.0071
('username_upper_to_lower_ratio_scaled', 'account_age_seconds_scaled'): 0.0070
('cashtag_in_description_count_scaled', 'tweets_last20_avg_retweets_scaled'): 0.0070
('name_upper_to_lower_ratio_scaled', 'following_rate_scaled'): 0.0070
('mention_in_description_count_scaled', 'tweets_last20_avg_likes_scaled'): 0.0070
('name_length_scaled', 'followers_count_scaled'): 0.0070
('username_length_scaled', 'following_count_scaled'): 0.0069
('name_upper_to_lower_ratio_scaled', 'following_count_scaled'): 0.0069
('username_upper_to_lower_ratio_scaled', 'hashtag_in_description_count_scaled'): 0.0068
('username_name_length_ratio_scaled', 'listed_over_followers_scaled'): 0.0068
('ratio_digits_in_description_scaled', 'ratio_special_chars_in_username_scaled'): 0.0068
('ratio_digits_in_name_scaled', 'cashtag_in_description_count_scaled'): 0.0067
('followers_count_scaled', 'following_over_followers_scaled'): 0.0065
('name_length_scaled', 'follower_rate_scaled'): 0.0065
('tweets_last20_sensitive_fraction_scaled', 'tweets_last20_avg_likes_scaled'): 0.0064
('following_over_followers_squared_scaled', 'listed_over_followers_scaled'): 0.0062
('following_over_followers_scaled', 'tweets_last20_num_distinct_langs_scaled'): 0.0061
('url_in_description_count_scaled', 'listed_over_tweets_scaled'): 0.0060
('name_upper_to_lower_ratio_scaled', 'following_over_followers_scaled'): 0.0060
('username_length_scaled', 'hashtag_in_description_count_scaled'): 0.0059
('followers_over_following_scaled', 'tweets_last20_avg_retweets_scaled'): 0.0058
('double_followers_over_following_scaled', 'tweets_last20_avg_retweets_scaled'): 0.0058
('follower_rate_scaled', 'following_rate_scaled'): 0.0057
('username_name_levenshtein_scaled', 'followers_over_following_scaled'): 0.0056
('username_name_levenshtein_scaled', 'double_followers_over_following_scaled'): 0.0056
('username_length_scaled', 'listed_over_followers_scaled'): 0.0056
('ratio_special_chars_in_description_scaled', 'followers_count_scaled'): 0.0055
('follower_rate_scaled', 'tweets_last20_avg_retweets_scaled'): 0.0055
('ratio_digits_in_username_scaled', 'username_upper_to_lower_ratio_scaled'): 0.0055
('following_count_scaled', 'following_over_followers_scaled'): 0.0054
('ratio_digits_in_name_scaled', 'followers_over_following_scaled'): 0.0054
('ratio_digits_in_name_scaled', 'double_followers_over_following_scaled'): 0.0054
('listed_count_scaled', 'listed_over_followers_scaled'): 0.0054
('ratio_digits_in_username_scaled', 'tweets_last20_sensitive_fraction_scaled'): 0.0053
('name_length_scaled', 'listed_over_tweets_scaled'): 0.0051
('listed_over_followers_scaled', 'tweets_last20_sensitive_fraction_scaled'): 0.0051
('username_length_scaled', 'ratio_digits_in_description_scaled'): 0.0050
('description_sentiment_scaled', 'followers_over_following_scaled'): 0.0050
('description_sentiment_scaled', 'double_followers_over_following_scaled'): 0.0050
('username_name_length_ratio_scaled', 'tweet_rate_scaled'): 0.0049
('name_upper_to_lower_ratio_scaled', 'following_over_followers_squared_scaled'): 0.0049
('ratio_digits_in_name_scaled', 'listed_count_scaled'): 0.0049
('following_over_followers_squared_scaled', 'listed_rate_scaled'): 0.0049
('name_upper_to_lower_ratio_scaled', 'listed_count_scaled'): 0.0048
('ratio_digits_in_name_scaled', 'listed_rate_scaled'): 0.0048
('ratio_digits_in_description_scaled', 'username_name_levenshtein_scaled'): 0.0048
('listed_over_followers_scaled', 'listed_rate_scaled'): 0.0048
('username_upper_to_lower_ratio_scaled', 'tweets_last20_num_distinct_langs_scaled'): 0.0047
('tweet_rate_scaled', 'tweets_last20_avg_retweets_scaled'): 0.0047
